timestamp,temperature,rain,wind_speed,cloud_cover
2024-12-30,7.7,0.05,6.8,8
2024-12-31,5.5,0.0,8.9,8
2025-01-01,7.8,20.9,11.6,8
2025-01-02,3.2,2.8,3.0,4
2025-01-03,2.7,2.1,4.9,7
2025-01-04,2.3,1.4,3.7,8
2025-01-05,5.4,22.0,7.3,8
2025-01-06,8.6,1.9,10.7,7
2025-01-07,4.1,1.9,7.1,7
2025-01-08,3.4,0.5,4.3,6
2025-01-09,2.3,1.7,4.2,7
2025-01-10,2.5,2.9,3.8,4
2025-01-11,0.8,0.2,2.0,3
2025-01-12,2.9,0.05,1.7,7
2025-01-13,0.7,0.0,3.1,5
2025-01-14,4.4,0.5,4.5,8
2025-01-15,6.9,0.0,1.5,8
2025-01-16,4.0,0.05,3.1,8
2025-01-17,0.6,0.05,2.3,8
2025-01-18,-1.0,0.05,2.6,8
2025-01-19,-0.7,0.0,1.6,8
2025-01-20,0.4,0.05,3.6,8
2025-01-21,0.1,0.05,3.9,8
2025-01-22,2.1,4.3,2.7,8
2025-01-23,5.6,3.0,6.5,7
2025-01-24,7.4,4.5,7.8,8
2025-01-25,5.0,1.2,3.0,8
2025-01-26,3.7,3.5,5.8,7
2025-01-27,8.5,5.5,8.5,5
